833,0,1,206
835,0,1,168
836,0,4,136
838,0,4,107
839,0,3,75
841,0,5,56
842,1,3,34
844,0,4,18
845,0,6,6
847,0,4,-2
848,3,4,-11
850,0,7,-15
851,3,5,-12
854,1,4,-10
855,0,5,1
857,1,5,13
858,1,6,31
860,0,5,47
861,1,3,76
863,0,3,103
864,0,2,139
866,0,4,174
867,0,3,214
869,0,3,246
870,0,3,281
872,-2,2,302
874,0,3,313
875,0,1,320
877,2,2,310
878,0,1,295
880,0,3,267
881,0,3,238
883,0,2,206
884,0,4,168
886,1,4,136
887,0,3,103
889,0,4,76
891,0,2,54
892,1,4,30
894,0,4,20
896,0,4,4
897,2,7,0
899,0,6,-10
900,1,6,-15
902,0,4,-13
903,3,4,-11
905,0,5,0
906,1,4,7
908,0,5,28
909,1,6,48
911,0,1,72
912,1,5,104
914,0,5,141
915,0,4,178
917,0,2,214
919,2,2,249
920,0,1,278
922,0,2,302
923,0,3,314
925,0,1,315
926,0,1,312
928,-2,1,292
929,-2,2,269
931,0,3,235
933,0,4,201
934,0,1,168
936,0,4,134
937,0,4,108
940,0,4,81
941,0,4,57
943,0,4,33
944,0,4,21
946,1,4,3
947,2,4,-4
949,0,6,-12
950,2,5,-13
952,1,4,-16
953,3,4,-7
955,2,5,-2
956,0,4,10
958,-3,7,28
959,1,3,51
961,0,5,70
962,0,5,102
964,0,4,138
965,0,1,172
967,0,2,211
968,0,3,248
970,0,2,275
971,-2,1,298
973,0,1,316
975,0,2,316
976,0,3,313
978,0,3,296
979,0,2,271
982,0,4,240
983,3,2,206
985,0,2,170
986,0,3,136
988,0,1,106
990,0,3,78
991,0,3,54
993,0,5,35
994,0,4,21
996,1,3,8
997,1,6,-4
998,1,5,-12
1000,2,5,-14
1001,3,5,-14
1003,1,6,-6
1005,0,4,0
1006,1,3,11
1008,0,7,29
1009,0,2,52
1011,0,3,80
1012,4,2,110
1014,0,0,144
1015,0,5,184
1017,0,2,222
1019,0,3,252
1020,0,4,282
1022,0,2,309
1024,0,3,319
1026,1,1,315
1028,1,1,304
1029,0,2,283
1031,0,5,258
1032,0,3,224
1034,0,5,184
1036,-3,3,152
1037,0,1,122
1039,2,2,88
1040,0,6,63
1042,0,2,40
1043,0,3,22
1045,1,3,10
1046,0,4,0
1048,1,7,-7
1049,2,4,-13
1051,1,5,-13
1053,1,4,-9
1054,0,6,0
1056,0,5,10
1057,1,6,25
1059,0,6,49
1060,0,4,76
1062,1,4,108
1063,0,4,141
1065,0,1,177
1068,0,4,214
1069,0,2,250
1071,0,2,276
1072,0,2,306
