,3,153
845,0,2,182
847,0,6,179
848,1,2,174
850,0,3,169
851,0,3,158
854,2,3,149
856,0,1,137
857,0,4,128
859,0,3,120
860,0,2,105
862,0,5,97
863,0,6,95
865,0,4,91
866,0,4,83
868,1,4,78
869,1,6,80
871,0,5,81
872,2,1,88
874,0,4,89
875,0,3,96
877,2,4,100
878,0,2,111
880,0,4,118
881,1,3,127
883,1,3,137
885,3,2,146
886,0,4,161
888,0,4,167
889,0,3,173
891,0,3,179
892,0,2,183
894,0,3,182
896,0,3,182
898,0,5,177
900,1,3,170
901,0,3,164
903,0,3,154
904,0,2,143
906,0,3,138
907,0,4,127
909,0,4,115
910,0,5,106
912,1,3,100
914,0,7,91
915,1,3,87
917,0,4,85
918,0,4,82
920,3,5,81
921,0,1,85
922,0,2,86
924,1,5,91
925,0,3,96
927,0,4,104
929,0,6,111
930,0,2,120
932,0,4,131
933,1,2,142
935,1,4,150
936,2,2,160
939,1,4,166
940,0,1,172
942,0,3,182
944,2,3,182
945,0,2,184
947,0,4,180
948,0,4,174
950,0,5,169
951,0,2,162
953,0,1,154
954,0,5,141
956,1,3,132
958,0,4,124
959,0,3,113
961,0,2,103
962,0,4,96
964,0,4,89
965,0,3,89
967,1,3,85
968,0,5,82
970,0,3,81
971,2,2,82
973,0,4,88
974,0,4,91
976,0,4,94
977,0,1,106
979,0,5,113
980,0,6,123
983,1,1,131
984,-2,4,146
986,0,2,153
987,0,3,165
989,0,3,172
991,1,3,177
992,0,6,181
994,0,5,184
995,0,3,182
997,1,2,179
998,1,3,173
1000,1,5,168
1002,2,2,160
1003,0,3,146
1005,1,4,137
1006,0,3,128
1008,0,4,118
1009,0,4,108
1011,0,4,104
1013,2,4,96
1014,0,5,86
1016,1,5,85
1017,0,4,83
1019,0,4,82
1020,0,5,82
1022,0,5,87
1024,1,5,90
1026,0,5,96
1028,0,3,102
1029,2,2,109
1031,0,4,120
1032,1,2,130
1034,0,4,142
1036,0,4,154
1037,0,4,160
1039,0,4,172
1040,1,2,174
1042,0,3,184
1044,0,3,185
1045,0,2,183
1047,-2,5,178
1048,0,3,172
1050,0,2,167
1052,0,6,156
1053,2,3,145
1055,0,6,137
1056,0,3,128
1058,2,4,116
1060,0,2,109
1061,0,4,100
1063,1,2,92
1064,0,5,89
1067,-3,7,84
1068,0,2,84
1070,0,3,80
1071,1,2,84
1073,3,1,85
1074,0,4,93
1076,2,3,96
1078,0,3,103
1079,1,3,113
1081,0,6,122
1082,0,5,132
1084,0,6,146
1086,1,4,155
1087,2,5,164
1089,0,3,172
1090,0,6,174
1092,0,4,184
1094,1,3,181
1095,1,3,178
1097,0,5,178
1098,0,4,173
1100,0,4,166
1102,0,2,156
1103,2,4,147
1105,0,3,135
1106,0,3,125
1108,0,3,115
1111,-3,4,108
1112,0,6,96
1114,0,3,94
1115,4,2,88
1117,0,5,84
1118,0,3,80
1120,2,5,81
1121,0,4,86
1123,1,3,86
1124,0,3,93
1126,2,5,98
1128,0,6,103
1129,3,3,112
1131,0,4,126
1132,0,4,136
1134,0,4,147
1136,0,3,156
1137,2,1,163
1139,0,4,172
1140,0,2,177
1142,1,5,180
1143,1,3,184
1145,0,1,183
1147,0,6,179
1148,1,3,170
1150,2,0,165
1152,0,4,158
1154,0,4,147
1156,0,4,134
1157,0,2,123
1159,0,2,115
1160,0,6,105
1162,0,3,95
1164,0,4,94
1165,0,3,88
1167,1,3,83
1168,0,4,78
1170,0,3,84
1171,2,2,82
1173,2,5,86
1174,0,5,95
1176,0,3,99
1177,-3,5,104
1179,0,6,117
1181,2,1,127
1182,0,6,134
1184,1,5,146
1185,0,3,158
1187,0,2,164
1189,0,4,174
1190,0,4,179
1192,0,3,180
1193,1,4,181
1196,0,3,183
1198,0,4,176
1199,-2,4,169
1201,0,3,164
1202,0,3,155
1204,2,2,141
1206,0,3,132
1207,0,3,120
1209,1,3,112
1210,0,2,102
1212,0,4,96
1214,1,2,90
1215,0,2,87
1217,0,4,83
1218,0,3,80
1220,0,5,81
1221,0,3,83
1223,0,2,88
1224,-2,3,92
1226,0,2,102
1228,0,4,107
1229,1,5,119
1231,1,2,126
1232,0,3,135
1234,0,2,149
1236,0,4,160
1238,0,3,169
1240,0,3,172
1241,0,2,180
1243,0,2,183
1245,0,3,184
1246,0,3,179
1248,0,5,176
1249,0,4,167
1251,0,4,162
1253,0,5,153
1254,1,1,142
1256,0,3,132
1257,0,6,123
1259,0,3,115
1260,1,2,104
1262,0,3,96
1264,1,4,92
1265,0,3,89
1267,1,2,83
1268,0,5,83
1270,1,0,83
1271,1,1,83
1273,0,3,86
1274,0,5,92
1276,0,4,103
1278,0,3,105
1280,0,3,119
1282,0,2,131
1283,2,3,140
1285,0,4,150
1287,-2,3,159
1288,1,2,168
1290,0,5,174
1291,0,1,180
1293,0,3,185
1295,0,3,184
1296,0,3,181
1298,0,2,174
1299,0,3,171
1301,0,6,160
1303,0,4,151
1304,1,4,140
1306,0,3,129
1307,0,3,119
1309,0,5,111
1311,0,2,102
1312,-3,2,96
1314,0,3,89
1315,0,4,87
1317,2,4,80
1318,0,2,80
1320,0,4,82
1321,0,6,84
1324,0,3,89
1325,0,2,92
1327,0,2,100
1329,0,3,111
1330,0,3,123
1332,1,1,132
1333,0,4,140
1335,0,4,150
1337,0,1,163
1338,0,5,167
1340,1,3,175
1341,0,3,181
1343,0,3,183
1345,1,2,184
1346,0,3,181
1348,0,3,177
1349,0,5,167
1351,0,3,159
1353,0,4,148
1354,0,3,139
