
,1,309
998,1,6,-21
1000,3,6,-30
1001,0,6,-30
1003,0,4,-28
1004,0,8,-19
1006,2,5,-8
1007,0,5,7
1009,0,5,20
1010,0,4,52
1012,0,6,83
1013,0,4,122
1015,0,5,161
1017,0,1,210
1018,1,3,248
1020,0,2,289
1021,0,3,321
1024,0,3,336
1026,-3,3,346
1027,-2,4,340
1029,0,2,323
1030,0,2,291
1032,0,2,253
1034,0,4,213
1035,-2,3,175
1037,0,2,130
1038,0,1,100
1040,-2,1,67
1042,0,3,42
1043,1,3,22
1045,2,4,2
1046,3,2,-9
1048,1,4,-20
1049,1,2,-27
1051,3,4,-28
1052,0,4,-27
1054,1,5,-23
1055,1,6,-12
1057,0,5,2
1058,0,6,25
1060,0,1,51
1062,0,3,78
1063,1,3,115
1065,0,4,161
1067,0,3,206
1069,0,5,247
1070,0,3,285
1072,0,4,318
1074,0,2,335
1075,0,0,345
1077,0,2,338
1078,0,4,320
1080,0,3,292
1082,0,4,256
1083,0,4,220
1085,0,1,178
1086,0,2,143
1088,0,2,104
1090,0,4,66
1091,0,5,43
1093,0,4,26
1094,1,4,9
1096,2,4,-8
1097,1,5,-19
1099,3,5,-27
1100,1,4,-29
1102,2,7,-28
1103,0,6,-23
1105,0,5,-14
1107,0,5,3
1108,0,6,20
1111,0,3,45
1112,0,4,81
1114,0,1,116
1115,0,2,155
1117,1,2,203
1119,0,3,240
1120,0,3,278
1122,0,1,312
1123,0,3,336
1125,0,5,345
1127,0,2,340
1128,0,3,324
1130,0,2,296
1131,0,0,263
1133,0,3,223
1135,0,3,184
1136,2,2,139
1138,0,4,100
1139,-2,4,74
1141,0,5,48
1142,0,6,24
1144,0,3,6
1145,1,6,-8
1147,3,3,-17
1149,0,5,-28
1150,1,6,-28
1153,0,5,-27
1154,0,7,-22
1156,0,7,-15
1157,0,5,0
1159,0,4,18
1160,0,6,44
1162,0,5,74
1163,1,4,111
1165,0,4,151
1167,0,3,191
1168,0,2,236
1170,0,4,284
1171,0,3,313
1173,0,1,334
1175,1,0,343
1176,0,2,344
1178,0,3,324
1179,0,4,297
1181,0,3,268
1183,0,3,221
1184,0,2,181
1186,0,3,145
1187,0,2,106
1189,1,4,73
1191,0,3,47
1192,0,4,29
1195,2,2,7
1196,1,6,-7
1198,2,5,-18
1199,1,6,-23
1201,2,3,-30
1202,3,4,-28
1204,0,6,-24
1205,0,4,-13
1207,1,4,0
1208,0,4,16
1210,3,3,39
1212,0,6,72
1213,0,4,105
1215,0,4,146
1216,1,3,188
1218,1,2,237
1219,0,4,280
1221,0,4,308
1223,1,0,331
1224,0,4,344
1226,3,0,342
1227,0,1,327
1229,0,0,298
1231,0,0,263
1232,0,3,227
1234,0,2,188
1235,0,2,148
1238,2,0,112
1240,0,2,83
1241,1,5,52
1243,0,4,27
1244,2,3,12
1246,0,4,-5
1247,0,4,-19
1249,2,4,-25
1250,2,2,-30
1252,3,4,-29
1253,1,3,-22
1255,2,3,-14
1257,0,7,-4
1258,0,4,16
1260,0,5,45
1261,0,2,75
1263,0,4,107
1264,0,3,147
1266,0,4,193
1268,1,4,234
1269,0,0,272
1271,0,2,307
1272,0,2,327
1274,1,0,344
1276,0,1,343
1277,0,0,326
1280,0,2,298
1281,0,4,268
1283,0,4,230
1285,0,2,191
1286,0,0,154
1288,0,4,109
1289,0,5,78
1291,0,4,53
1292,2,5,27
1294,2,3,10
1295,0,6,-4
1297,2,4,-18
1299,1,5,-27
1300,2,6,-28
1302,1,4,-29
1303,0,6,-23
1305,1,4,-18
1306,1,6,-4
1308,0,2,15
1309,0,4,42
1311,0,1,67
1312,0,4,102
1314,1,4,138
1316,-3,2,188
1317,1,2,229
1319,0,2,266
1320,0,0,300
1323,0,1,332
1325,0,2,344
1326,0,1,340
1328,-3,5,331
1329,0,0,308
1331,0,4,275
1333,-2,4,236
1334,-2,2,192
1336,0,5,148
1337,0,3,113
1339,0,3,82
1341,0,3,54
1342,0,2,31
1344,1,4,12
1345,4,4,-3
1347,1,4,-16
1348,1,6,-26
1350,1,5,-29
1351,1,6,-29
1353,1,6,-28
1354,0,4,-19
1356,0,3,-7
1357,2,6,12
1359,0,2,33
1361,0,6,65
1362,0,5,96
1364,0,3,136
1366,0,3,179
1368,0,3,222
1369,-2,2,259
1371,0,3,301
1373,0,1,331
1374,0,3,342
1376,0,3,342
1377,-2,2,333
1379,0,1,307
1381,0,4,277
1382,0,0,236
1384,0,2,192
1385,0,0,158
1387,0,4,118
1389,0,3,89
1390,0,3,55
1392,0,2,33
1393,0,6,14
1395,1,3,-2
1396,2,1,-13
1398,0,7,-24
1399,0,5,-29
1401,0,6,-29
1402,1,4,-28
1404,2,5,-15
1406,0,5,-4
1408,1,5,9
1410,1,6,32
1411,-3,4,63
1413,0,2,92
1414,0,4,132
1416,1,2,175
1417,0,3,218
1419,1,1,263
1421,0,2,300
1422,-2,3,325
1424,0,2,341
1425,0,4,344
1427,0,3,334
1429,0,4,314
1430,0,2,283
1432,0,1,238
1433,0,1,200
1435,-3,4,160
1437,0,3,124
1438,0,4,89
1440,0,3,60
1441,2,4,37
1443,0,6,13
1444,0,4,-3
1446,0,5,-12
1447,1,4,-23
1449,0,5,-27
1452,2,5,-31
1453,1,5,-26
1455,0,6,-18
1456,0,4,-5
1458,2,1,8
1459,1,4,30
1461,0,5,55
1462,0,7,87
1464,1,2,128
1465,0,2,168
1467,0,2,213
1469,0,3,256
1470,0,2,296
1472,0,3,324
1473,0,2,343
1475,0,1,343
1477,0,3,337
1478,0,2,319
1480,0,3,288
1481,1,2,243
1483,-2,2,208
1485,-2,3,168
1486,0,4,128
1488,-2,4,91
1489,0,1,64
1491,1,3,39
1492,0,5,16
1495,0,5,0
1496,0,7,-13
1498,1,4,-23
1500,2,6,-26
1501,4,3,-28
1503,0,7,-26
1504,0,4,-18
1506,0,6,-8
1507,1,4,10
1509,0,3,25
1510,0,7,50
1512,0,3,86
1513,0,5,123
1515,0,6,163
1517,0,0,214
1518,-2,5,256
1520,0,2,291
1521,0,3,318
1523,-2,3,337
1525,0,1,345
1526,-2,3,338
1528,0,1,314
1529,0,2,286
1531,0,1,252
1533,0,2,211
1534,0,2,170
1537,1,2,134
1538,-2,3,100
1540,0,6,62
1542,0,4,40
1543,1,4,22
1545,1,5,0
1546,0,4,-12
1548,1,6,-19
1549,0,7,-28
1551,2,7,-28
1552,3,3,-30
1554,3,6,-21
1556,2,4,-10
1557,0,5,7
1559,0,4,27
1560,1,5,56
1562,-2,6,88
1563,0,4,124
1565,0,2,166
1566,0,3,208
1568,0,1,248
1570,0,0,287
1571,0,2,318
1573,0,1,336
1574,0,3,345
1576,0,3,337
1579,0,2,316
1580,0,3,288
1582,0,2,255
1583,0,3,217
1585,1,1,176
1587,0,3,132
1588,0,3,96
1590,0,3,65
1591,0,4,42
1593,0,3,20
1594,2,3,0
1596,3,6,-8
1597,0,6,-23
1599,0,6,-25
1600,1,5,-28
1602,3,6,-30
1604,1,5,-18
1605,0,4,-11
1607,0,7,3
1608,0,4,25
1610,0,2,53
1611,0,4,82
1613,0,3,120
1614,1,3,160
1616,0,3,202
1618,0,5,243
1619,0,3,280
1622,0,3,317
1623,0,3,337
1625,0,4,348
1627,0,1,337
1628,-2,4,323
1630,-2,3,295
1631,-2,2,261
1633,0,1,222
1635,0,3,175
1636,0,4,137
1638,2,0,103
1639,0,1,67
1641,0,3,45
1642,0,4,23
1644,2,3,5
1645,0,4,-8
1647,2,4,-22
1649,1,5,-25
1650,1,4,-30
1652,1,4,-27
1653,1,4,-26
1655,0,6,-13
1656,1,5,1
1658,0,6,20
1659,0,4,46
1661,0,3,78
1662,0,2,113
1665,0,6,153
1667,0,5,196
1668,0,4,240
1670,0,4,285
1671,0,1,314
1673,0,0,338
1675,0,2,345
1676,0,1,341
1678,1,0,324
1679,0,0,298
1681,0,2,264
1683,2,0,219
1684,-2,3,178
1686,0,4,137
1687,0,1,105
1689,0,3,74
1691,0,2,46
1692,1,4,24
1694,0,6,4
1695,3,3,-6
1697,2,4,-16
1698,0,3,-23
1700,4,1,-28
1701,3,7,-27
1703,0,7,-24
1704,1,1,-19
1707,0,5,-3
1708,1,3,17
1710,0,5,41
1712,0,6,71
1713,0,2,110
1715,0,4,146
1716,0,3,191
1718,1,1,240
1719,-3,5,279
1721,0,1,309
1723,0,3,333
1724,-2,4,347
1726,0,2,340
1727,0,4,325
1729,0,1,297
1731,0,2,263
1732,0,1,224
1734,0,1,183
1735,0,4,144
1737,0,1,107
1739,0,3,77
1740,0,5,49
1742,1,5,29
1743,0,5,6
1745,1,6,-5
1746,1,5,-18
1748,1,4,-25
1750,1,6,-29
1752,2,6,-32
1753,1,7,-25
1755,0,5,-16
1757,0,2,0
1758,0,5,14
1760,0,6,41
1761,0,4,65
1763,0,3,102
1764,0,3,146
1766,0,0,196
1768,0,3,236
1769,-2,1,275
1771,2,2,309
1772,0,2,331
1774,0,1,344
1775,0,2,345
1777,0,3,325
1779,-3,4,301
1780,0,3,267
1782,0,1,227
1783,0,3,190
1785,0,1,152
1787,0,5,114
1788,0,2,82
1790,0,2,52
1792,1,5,30
1794,0,6,13
1795,0,7,-7
1797,0,7,-17
1799,1,5,-23
1800,0,8,-27
1802,0,4,-30
1803,2,4,-28
1805,0,6,-17
1806,1,5,-3
1808,0,6,14
1809,0,4,40
1811,0,4,73
1812,0,6,107
1814,1,2,149
1816,-2,3,190
1817,0,3,230
1819,0,3,271
1820,0,3,305
1822,0,1,327
1824,1,5,341
1825,0,3,342
1827,-2,2,334
1828,0,3,304
1830,0,2,268
1832,0,0,235
1833,0,1,194
1836,0,1,149
1837,0,4,113
1839,0,5,80
1841,0,6,51
1842,2,5,28
1844,0,4,7
1845,0,4,0
1847,0,5,-16
1848,0,5,-24
1850,2,5,-29
1851,2,4,-30
1853,3,5,-28
1854,0,4,-16
1856,2,5,-6
1857,0,5,14
1859,0,4,35
1861,-2,4,67
1862,0,5,103
1864,1,3,141
1865,1,2,182
1867,0,3,225
1868,0,2,264
1870,0,1,307
1872,0,3,327
1873,0,0,343
1875,0,3,340
1876,0,3,331
1879,-2,4,310
1881,-2,2,275
1882,0,3,232
1884,0,4,190
1885,0,1,153
1887,0,2,115
1889,0,2,87
1890,0,6,55
1892,0,4,31
1893,0,6,14
1895,0,3,-3
1896,1,3,-18
1898,1,4,-22
1899,1,6,-31
1901,3,4,-29
1903,0,4,-26
1904,2,5,-19
1906,2,4,-4
1907,3,6,14
1909,0,8,39
1910,0,5,63
1912,1,7,96
1913,0,3,137
1915,0,3,185
1917,0,4,228
1918,0,1,268
1921,1,1,302
1922,0,1,326
1924,1,1,341
1926,0,1,346
1927,1,1,332
1929,0,3,306
1930,0,2,275
1932,0,4,234
1934,0,2,197
1935,0,2,158
1937,0,2,118
1938,0,5,89
1940,0,6,62
1941,0,3,32
1943,0,2,15
1944,0,4,0
1946,0,2,-17
1948,1,5,-25
1949,1,4,-30
1951,0,6,-30
1952,1,4,-24
1954,0,6,-22
1955,1,5,-8
1957,0,4,10
1958,0,5,33
1960,0,4,63
1961,0,6,98
1964,0,4,140
1966,1,3,180
1967,0,4,224
1969,2,3,262
1970,0,2,296
1972,0,3,323
1974,0,2,340
1975,0,2,344
1977,0,2,332
1978,-2,3,309
1980,0,2,278
1982,0,3,242
1983,0,1,202
1985,1,1,161
1986,0,3,121
1988,0,4,88
1989,0,4,62
1991,2,3,36
1993,1,4,18
1994,0,4,0
1996,1,2,-9
1997,3,2,-24
1999,0,8,-28
2000,0,4,-29
2002,2,6,-26
2003,3,7,-22
2006,3,6,-7
2007,0,3,10
2009,1,4,32
2010,0,6,60
2012,0,4,96
2014,0,4,133
2015,0,3,174
2017,0,3,218
2018,0,3,256
2020,0,2,292
2022,0,4,322
2023,0,3,337
2025,0,1,348
2026,0,5,334
2028,0,3,315
2030,1,3,284
2031,0,4,246
2033,1,1,208
2034,0,3,166
2036,0,2,129
2038,0,2,95
2039,2,4,66
2041,0,3,37
2042,0,4,18
2044,0,6,2
2045,0,4,-11
2048,4,3,-22
2049,0,5,-28
2051,0,6,-28
2052,1,6,-29
2054,2,5,-19
2055,0,5,-9
2057,0,4,7
2058,0,4,28
2060,0,4,49
2062,0,4,83
2063,1,3,122
2065,0,3,168
2066,0,2,210
2068,0,2,254
2070,0,2,288
2071,1,3,319
2073,1,0,336
